Medtr0006s0230.1	GO:0000166,GO:0006952,GO:0017111
Medtr0006s0240.1	GO:0000166,GO:0006952,GO:0017111
Medtr0007s0020.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0007s0060.1	GO:0000166,GO:0005515,GO:0006952,GO:0007165,GO:0017111
Medtr0007s0080.1	GO:0000166,GO:0006952,GO:0017111
Medtr0007s0140.1	GO:0005515,GO:0006952,GO:0007165
Medtr0007s0140.2	GO:0005515,GO:0006952,GO:0007165
Medtr0007s0220.1	GO:0016772
Medtr0007s0330.1	GO:0046983
Medtr0007s0330.2	GO:0046983
Medtr0007s0380.1	GO:0046983
Medtr0007s0390.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0008s0120.1	GO:0005576
Medtr0008s0130.1	GO:0005337,GO:0006810,GO:0016021
Medtr0008s0230.1	GO:0006508,GO:0008234
Medtr0008s0280.1	GO:0003677,GO:0003682
Medtr0008s0390.1	GO:0003677,GO:0003682
Medtr0008s0470.1	GO:0003677,GO:0003682
Medtr0009s0050.1	GO:0016491,GO:0016706,GO:0055114
Medtr0009s0050.2	GO:0016491,GO:0016706,GO:0055114
Medtr0009s0050.3	GO:0016491,GO:0016706,GO:0055114
Medtr0009s0050.4	GO:0016491,GO:0016706,GO:0055114
Medtr0009s0050.5	GO:0016491,GO:0016706,GO:0055114
Medtr0009s0050.6	GO:0016491,GO:0016706,GO:0055114
Medtr0009s0050.7	GO:0016491,GO:0016706,GO:0055114
Medtr0009s0050.8	GO:0016491,GO:0016706,GO:0055114
Medtr0009s0050.9	GO:0016491,GO:0016706,GO:0055114
Medtr0009s0230.1	GO:0003824,GO:0006281
Medtr0009s0230.2	GO:0003824,GO:0006281
Medtr0009s0370.1	GO:0005215,GO:0006810,GO:0016020,GO:0022891,GO:0055085
Medtr0009s0390.1	GO:0005524,GO:0006457,GO:0006950,GO:0051082
Medtr0009s0400.1	GO:0016491,GO:0016706,GO:0055114
Medtr0009s0480.1	GO:0016491,GO:0016706,GO:0055114
Medtr0009s0480.2	GO:0016491,GO:0016706,GO:0055114
Medtr0010s0050.1	GO:0005515,GO:0008270
Medtr0010s0220.1	GO:0005488,GO:0005643,GO:0006886,GO:0008565
Medtr0011s0210.1	GO:0046983
Medtr0011s0260.1	GO:0046983
Medtr0011s0280.1	GO:0000166,GO:0016491,GO:0016747
Medtr0011s0330.1	GO:0003723,GO:0005730,GO:0030529,GO:0042254
Medtr0012s0110.1	GO:0008380
Medtr0012s0290.1	GO:0005515,GO:0006952,GO:0007165
Medtr0012s0290.2	GO:0005515,GO:0006952,GO:0007165
Medtr0012s0290.3	GO:0005515,GO:0006952,GO:0007165
Medtr0013s0070.1	GO:0004869
Medtr0013s0120.1	GO:0005515
Medtr0013s0230.1	GO:0016866
Medtr0014s0180.1	GO:0005515
Medtr0014s0210.1	GO:0005515
Medtr0014s0250.1	GO:0005515
Medtr0015s0030.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0015s0060.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0015s0090.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0015s0130.1	GO:0005524
Medtr0015s0130.2	GO:0005524
Medtr0015s0140.1	GO:0003824,GO:0004722,GO:0006470
Medtr0015s0140.2	GO:0003824
Medtr0016s0030.1	GO:0000166
Medtr0017s0100.1	GO:0008168
Medtr0017s0230.1	GO:0005515
Medtr0018s0090.1	GO:0005515
Medtr0018s0090.2	GO:0005515
Medtr0018s0170.1	GO:0005515
Medtr0018s0170.2	GO:0005515
Medtr0018s0230.1	GO:0004970,GO:0005234,GO:0016020
Medtr0018s0230.2	GO:0004970,GO:0005234,GO:0016020
Medtr0018s0240.1	GO:0004970,GO:0005234,GO:0016020
Medtr0018s0260.1	GO:0006099,GO:0009055,GO:0016491,GO:0051536,GO:0051537,GO:0055114
Medtr0019s0020.1	GO:0000166,GO:0005524,GO:0006810,GO:0016021,GO:0016887,GO:0017111,GO:0042626,GO:0055085
Medtr0019s0020.2	GO:0000166,GO:0005524,GO:0006810,GO:0016021,GO:0016887,GO:0017111,GO:0042626,GO:0055085
Medtr0019s0020.3	GO:0000166,GO:0005524,GO:0006810,GO:0016021,GO:0016887,GO:0017111,GO:0042626,GO:0055085
Medtr0019s0020.4	GO:0000166,GO:0005524,GO:0006810,GO:0016021,GO:0016887,GO:0017111,GO:0042626,GO:0055085
Medtr0019s0020.5	GO:0000166,GO:0005524,GO:0006810,GO:0016021,GO:0016887,GO:0017111,GO:0042626,GO:0055085
Medtr0019s0070.1	GO:0005515
Medtr0019s0100.1	GO:0005515,GO:0006952,GO:0007165
Medtr0019s0160.1	GO:0003677,GO:0003899,GO:0006351,GO:0030880
Medtr0019s0210.1	GO:0005515
Medtr0019s0210.2	GO:0005515
Medtr0019s0210.3	GO:0005515
Medtr0019s0270.1	GO:0003677,GO:0005634
Medtr0019s0310.1	GO:0003677,GO:0005634,GO:0008270
Medtr0019s0330.1	GO:0003677,GO:0005634
Medtr0020s0020.1	GO:0003700,GO:0005634,GO:0006355,GO:0043565
Medtr0020s0100.1	GO:0005515
Medtr0020s0130.1	GO:0005515,GO:0008270
Medtr0020s0130.2	GO:0005515,GO:0008270
Medtr0020s0130.3	GO:0005515,GO:0008270
Medtr0020s0130.4	GO:0005515,GO:0008270
Medtr0021s0240.1	GO:0003677,GO:0006355
Medtr0021s0360.1	GO:0000287,GO:0004012,GO:0005524,GO:0006812,GO:0015914,GO:0016021,GO:0019829
Medtr0022s0290.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr0022s0360.1	GO:0000166,GO:0003676
Medtr0022s0360.2	GO:0000166,GO:0003676
Medtr0022s0430.1	GO:0005515
Medtr0022s0430.2	GO:0005515
Medtr0022s0450.1	GO:0000156,GO:0000160,GO:0006355
Medtr0022s0480.1	GO:0005515,GO:0007165
Medtr0023s0210.1	GO:0003677,GO:0003682
Medtr0024s0040.1	GO:0004190,GO:0006508
Medtr0024s0110.1	GO:0004129,GO:0005506,GO:0009055,GO:0009060,GO:0016021,GO:0020037,GO:0055114
Medtr0025s0060.1	GO:0004252,GO:0006508
Medtr0025s0060.2	GO:0004252,GO:0006508
Medtr0025s0110.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr0026s0160.1	GO:0004143,GO:0007205
Medtr0026s0210.1	GO:0005506,GO:0015671,GO:0019825,GO:0020037
Medtr0027s0250.1	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0019843
Medtr0027s0260.1	GO:0003824,GO:0004553,GO:0005975
Medtr0028s0170.1	GO:0004672,GO:0004674,GO:0004713,GO:0005509,GO:0005524,GO:0006468,GO:0016772
Medtr0032s0040.1	GO:0016491,GO:0016706,GO:0055114
Medtr0034s0060.1	GO:0000166
Medtr0034s0170.1	GO:0003824,GO:0003825,GO:0005992
Medtr0036s0050.1	GO:0004190,GO:0006508
Medtr0036s0070.1	GO:0004190,GO:0006508
Medtr0036s0110.1	GO:0004190,GO:0006508
Medtr0036s0140.1	GO:0004857,GO:0030599
Medtr0036s0150.1	GO:0003677,GO:0006355
Medtr0036s0210.1	GO:0005515,GO:0008017
Medtr0036s0220.1	GO:0008152,GO:0016758
Medtr0036s0260.1	GO:0003677,GO:0003682
Medtr0037s0060.1	GO:0003824,GO:0006281
Medtr0037s0060.2	GO:0003824,GO:0006281
Medtr0037s0060.3	GO:0003824,GO:0006281
Medtr0037s0250.1	GO:0003824,GO:0006281
Medtr0037s0250.2	GO:0003824,GO:0006281
Medtr0038s0040.1	GO:0000166,GO:0005515,GO:0006952,GO:0007165,GO:0017111
Medtr0038s0060.1	GO:0000166,GO:0005515,GO:0006952,GO:0007165,GO:0017111
Medtr0038s0080.1	GO:0000166,GO:0005515,GO:0006952,GO:0007165,GO:0017111
Medtr0038s0110.1	GO:0005515,GO:0007165
Medtr0039s0080.1	GO:0006855,GO:0015238,GO:0015297,GO:0016020,GO:0055085
Medtr0040s0110.1	GO:0005515
Medtr0040s0140.1	GO:0005576,GO:0009664
Medtr0041s0030.1	GO:0005215,GO:0006810,GO:0016020
Medtr0041s0030.2	GO:0005215,GO:0006810,GO:0016020
Medtr0041s0110.1	GO:0003677,GO:0006355
Medtr0041s0120.1	GO:0003677,GO:0006355
Medtr0041s0140.1	GO:0030001,GO:0046872
Medtr0043s0110.1	GO:0006952
Medtr0044s0120.1	GO:0008270
Medtr0044s0300.1	GO:0005515
Medtr0045s0060.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr0045s0060.2	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr0045s0070.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr0045s0070.2	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr0045s0080.1	GO:0004497,GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr0045s0100.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr0047s0040.1	GO:0005515
Medtr0047s0120.1	GO:0004252,GO:0006508
Medtr0049s0070.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0049s0070.2	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0049s0070.3	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0049s0110.1	GO:0005515
Medtr0049s0110.2	GO:0005515
Medtr0049s0110.3	GO:0005515
Medtr0049s0110.4	GO:0005515
Medtr0050s0180.1	GO:0043231,GO:0051537
Medtr0050s0240.1	GO:0005515
Medtr0051s0090.1	GO:0005515
Medtr0053s0030.1	GO:0004672,GO:0005524,GO:0006468,GO:0016772
Medtr0053s0030.2	GO:0004672,GO:0005524,GO:0006468,GO:0016772
Medtr0053s0030.3	GO:0004672,GO:0005524,GO:0006468,GO:0016772
Medtr0054s0010.1	GO:0000156,GO:0000160,GO:0006355
Medtr0054s0140.1	GO:0005515
Medtr0056s0160.1	GO:0016491,GO:0016706,GO:0055114
Medtr0057s0080.1	GO:0005515
Medtr0057s0130.1	GO:0005515
Medtr0057s0130.2	GO:0005515
Medtr0059s0060.1	GO:0003723,GO:0003735,GO:0005622,GO:0006412,GO:0015934
Medtr0059s0170.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr0061s0050.1	GO:0005515
Medtr0062s0020.1	GO:0003824,GO:0005975
Medtr0062s0040.1	GO:0003824,GO:0005975
Medtr0062s0060.1	GO:0003824,GO:0005975
Medtr0062s0090.1	GO:0003824,GO:0005975
Medtr0062s0110.1	GO:0003824,GO:0004553,GO:0005975
Medtr0062s0130.1	GO:0003824,GO:0004553,GO:0005975
Medtr0062s0170.1	GO:0003824,GO:0004553,GO:0005975
Medtr0063s0090.1	GO:0003677,GO:0003682
Medtr0064s0040.1	GO:0016020,GO:0022891,GO:0055085
Medtr0064s0050.1	GO:0005488
Medtr0064s0160.1	GO:0005515
Medtr0065s0100.1	GO:0006952
Medtr0067s0070.1	GO:0006952
Medtr0067s0070.2	GO:0006952
Medtr0067s0070.3	GO:0006952
Medtr0067s0100.1	GO:0005515,GO:0008270
Medtr0067s0100.2	GO:0005515,GO:0008270
Medtr0068s0070.1	GO:0016772
Medtr0068s0080.1	GO:0006952
Medtr0068s0080.2	GO:0006952
Medtr0069s0040.1	GO:0000166,GO:0006952,GO:0017111
Medtr0070s0020.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0070s0060.1	GO:0005515,GO:0007165
Medtr0071s0030.1	GO:0006886
Medtr0071s0070.1	GO:0006869,GO:0008289
Medtr0071s0100.1	GO:0005515,GO:0005634,GO:0008270,GO:0018024
Medtr0072s0040.1	GO:0003677
Medtr0073s0020.1	GO:0004672,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0074s0060.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0076s0020.1	GO:0004014,GO:0008295
Medtr0078s0010.1	GO:0008152,GO:0016758
Medtr0078s0060.1	GO:0008152,GO:0016758
Medtr0078s0190.1	GO:0008152,GO:0016758
Medtr0079s0070.1	GO:0008168
Medtr0082s0030.1	GO:0003723
Medtr0082s0040.1	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015935
Medtr0082s0060.1	GO:0008137,GO:0042773,GO:0055114
Medtr0082s0090.1	GO:0008137,GO:0042773,GO:0055114
Medtr0082s0160.1	GO:0004129,GO:0015002,GO:0016020,GO:0022904
Medtr0082s0280.1	GO:0016020,GO:0055114
Medtr0084s0030.1	GO:0004866
Medtr0085s0010.1	GO:0020037
Medtr0085s0030.1	GO:0046982
Medtr0086s0010.1	GO:0051087
Medtr0087s0050.1	GO:0005515
Medtr0088s0100.1	GO:0016813,GO:0046872
Medtr0090s0020.1	GO:0004672,GO:0004674,GO:0004713,GO:0005515,GO:0005524,GO:0006468,GO:0016772
Medtr0090s0020.2	GO:0004672,GO:0004674,GO:0004713,GO:0005515,GO:0005524,GO:0006468,GO:0016772
Medtr0090s0020.3	GO:0004672,GO:0004674,GO:0004713,GO:0005515,GO:0005524,GO:0006468,GO:0016772
Medtr0090s0020.4	GO:0004672,GO:0004674,GO:0004713,GO:0005515,GO:0005524,GO:0006468,GO:0016772
Medtr0095s0040.1	GO:0003677,GO:0003682
Medtr0097s0030.1	GO:0005515
Medtr0097s0060.1	GO:0005515
Medtr0097s0060.2	GO:0005515
Medtr0100s0150.1	GO:0004866
Medtr0100s0160.1	GO:0005622,GO:0008270
Medtr0105s0020.1	GO:0005515
Medtr0105s0040.1	GO:0005515
Medtr0105s0130.1	GO:0005515
Medtr0105s0170.1	GO:0005515
Medtr0108s0030.1	GO:0003824,GO:0004553,GO:0005975
Medtr0110s0020.1	GO:0003824,GO:0005975
Medtr0110s0030.1	GO:0003824,GO:0004553,GO:0005975
Medtr0110s0040.1	GO:0003824,GO:0004553,GO:0005975
Medtr0110s0040.2	GO:0003824,GO:0005975
Medtr0110s0050.1	GO:0003677,GO:0003824,GO:0004518,GO:0006281,GO:0016788
Medtr0110s0060.1	GO:0005515
Medtr0113s0040.1	GO:0005515
Medtr0115s0020.1	GO:0005515
Medtr0117s0040.1	GO:0003700,GO:0006355,GO:0043565
Medtr0118s0070.1	GO:0005576,GO:0019953
Medtr0121s0080.1	GO:0003677,GO:0046983
Medtr0121s0100.1	GO:0003677,GO:0046983
Medtr0122s0020.1	GO:0005576,GO:0019953
Medtr0122s0020.2	GO:0005576,GO:0019953
Medtr0123s0070.1	GO:0003677,GO:0003682
Medtr0123s0070.2	GO:0003677,GO:0003682
Medtr0126s0080.1	GO:0003700,GO:0006355,GO:0043565
Medtr0128s0010.1	GO:0005515
Medtr0128s0020.1	GO:0005515
Medtr0128s0070.1	GO:0005515
Medtr0128s0130.1	GO:0005515
Medtr0129s0080.1	GO:0003723,GO:0033897
Medtr0130s0060.1	GO:0003700,GO:0006355,GO:0043565
Medtr0133s0020.1	GO:0006952
Medtr0133s0030.1	GO:0006952
Medtr0134s0060.1	GO:0005515
Medtr0135s0080.1	GO:0005198
Medtr0136s0060.1	GO:0001671,GO:0051087
Medtr0137s0020.1	GO:0019904
Medtr0137s0070.1	GO:0005515
Medtr0137s0070.2	GO:0005515
Medtr0137s0080.1	GO:0004672,GO:0004713,GO:0005515,GO:0005524,GO:0006468,GO:0008270,GO:0016772
Medtr0140s0020.1	GO:0009055,GO:0015035,GO:0045454
Medtr0140s0030.1	GO:0003677,GO:0003682
Medtr0140s0050.1	GO:0005507,GO:0009308,GO:0048038
Medtr0140s0070.1	GO:0015078,GO:0015986,GO:0045263
Medtr0141s0020.1	GO:0015232,GO:0015886,GO:0016020,GO:0017004
Medtr0144s0030.1	GO:0006508,GO:0008234
Medtr0144s0060.1	GO:0006952
Medtr0147s0010.1	GO:0004601,GO:0006979,GO:0020037,GO:0055114
Medtr0147s0030.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr0147s0040.1	GO:0004601,GO:0006979,GO:0020037,GO:0055114
Medtr0147s0060.1	GO:0003676,GO:0004003,GO:0005524,GO:0006139,GO:0008026,GO:0016817,GO:0016818
Medtr0147s0070.1	GO:0003735,GO:0005622,GO:0005840,GO:0006412
Medtr0147s0080.1	GO:0005515,GO:0007154,GO:0035091
Medtr0147s0080.2	GO:0005515,GO:0007154,GO:0035091
Medtr0148s0050.1	GO:0005515
Medtr0148s0050.2	GO:0005515
Medtr0148s0080.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0151s0030.1	GO:0046854
Medtr0154s0020.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0154s0040.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0155s0010.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr0155s0040.1	GO:0004601,GO:0006979,GO:0020037,GO:0055114
Medtr0155s0060.1	GO:0004857,GO:0030599
Medtr0155s0080.1	GO:0004857,GO:0030599
Medtr0157s0060.1	GO:0004650,GO:0005975
Medtr0157s0070.1	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015935
Medtr0160s0030.1	GO:0005622,GO:0008270
Medtr0164s0070.1	GO:0000166
Medtr0166s0030.1	GO:0000166
Medtr0167s0060.1	GO:0004175,GO:0004298,GO:0006511,GO:0019773
Medtr0167s0060.2	GO:0004175,GO:0004298,GO:0006511,GO:0019773
Medtr0168s0080.1	GO:0005524,GO:0009396,GO:0030272
Medtr0168s0080.2	GO:0005524,GO:0009396,GO:0030272
Medtr0168s0120.1	GO:0005509
Medtr0171s0010.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr0171s0020.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr0171s0030.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr0172s0010.1	GO:0003677,GO:0003917,GO:0005694,GO:0006265
Medtr0172s0030.1	GO:0003677,GO:0003700,GO:0006352,GO:0006355,GO:0016987
Medtr0172s0030.2	GO:0003677,GO:0003700,GO:0006352,GO:0006355,GO:0016987
Medtr0173s0030.1	GO:0005515
Medtr0175s0030.1	GO:0005515
Medtr0176s0070.1	GO:0046373,GO:0046556
Medtr0177s0060.1	GO:0005515
Medtr0181s0030.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr0184s0030.1	GO:0008152,GO:0016758
Medtr0184s0040.1	GO:0008152,GO:0016758
Medtr0186s0030.1	GO:0005515
Medtr0186s0090.1	GO:0005515,GO:0008270
Medtr0187s0090.1	GO:0009522,GO:0009579,GO:0015979,GO:0016021
Medtr0188s0020.1	GO:0003993,GO:0046872
Medtr0189s0010.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0189s0030.1	GO:0005515,GO:0005524
Medtr0191s0030.1	GO:0000724,GO:0003697,GO:0005515,GO:0005634,GO:0006302,GO:0006310,GO:0007090
Medtr0193s0090.1	GO:0003677,GO:0003682
Medtr0194s0020.1	GO:0003723
Medtr0194s0020.2	GO:0003723
Medtr0194s0020.3	GO:0003723
Medtr0194s0030.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0194s0040.1	GO:0003824
Medtr0194s0050.1	GO:0046983
Medtr0196s0020.1	GO:0000166,GO:0005524,GO:0006810,GO:0016021,GO:0016887,GO:0017111,GO:0042626,GO:0055085
Medtr0197s0010.1	GO:0003677,GO:0003682
Medtr0197s0070.1	GO:0005515
Medtr0197s0070.2	GO:0005515
Medtr0197s0100.1	GO:0000786,GO:0003677,GO:0006334,GO:0046982
Medtr0198s0030.1	GO:0003677,GO:0003700,GO:0005634,GO:0006355,GO:0043565
Medtr0199s0040.1	GO:0003735,GO:0005622,GO:0005840,GO:0006412
Medtr0204s0020.1	GO:0005215,GO:0006810,GO:0016020,GO:0022891,GO:0055085
Medtr0204s0020.2	GO:0005215,GO:0006810,GO:0016020,GO:0022891,GO:0055085
Medtr0204s0040.1	GO:0005215,GO:0006810,GO:0016020,GO:0022891,GO:0055085
Medtr0205s0040.1	GO:0004672,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr0211s0080.1	GO:0004866
Medtr0212s0020.1	GO:0015232,GO:0015886,GO:0016020,GO:0017004
Medtr0212s0040.1	GO:0004129,GO:0005507,GO:0005524,GO:0015986,GO:0015991,GO:0016020,GO:0016021,GO:0016491,GO:0016820,GO:0022900,GO:0033178,GO:0045261,GO:0046933,GO:0046961
Medtr0212s0080.1	GO:0008137,GO:0016651,GO:0055114
Medtr0219s0070.1	GO:0004089,GO:0006730,GO:0008270
Medtr0223s0040.1	GO:0003677
Medtr0224s0030.1	GO:0016772
Medtr0227s0010.1	GO:0005515
Medtr0230s0010.1	GO:0006952
Medtr0237s0070.1	GO:0005515
Medtr0242s0010.1	GO:0000166
Medtr0242s0040.1	GO:0005515
Medtr0242s0060.1	GO:0005515
Medtr0245s0010.1	GO:0003677,GO:0003916,GO:0003917,GO:0005694,GO:0006265
Medtr0245s0010.2	GO:0003677,GO:0003916,GO:0003917,GO:0005694,GO:0006265
Medtr0245s0010.3	GO:0003677,GO:0003916,GO:0003917,GO:0005694,GO:0006265
Medtr0246s0020.1	GO:0046983
Medtr0246s0020.2	GO:0046983
Medtr0246s0050.1	GO:0046983
Medtr0247s0040.1	GO:0003677,GO:0003682
Medtr0248s0010.1	GO:0016702,GO:0046872,GO:0055114
Medtr0249s0070.1	GO:0003677,GO:0008270
Medtr0249s0070.2	GO:0003677,GO:0008270
Medtr0249s0070.3	GO:0003677,GO:0008270
Medtr0249s0070.4	GO:0003677,GO:0008270
